name,current_revenue,worstcase_revenue,risked_revenue,expected_revenue,variance,variance_perc
BOOM 2 Wireless Bluetooth Speaker - Indigo,3032.88,2729.59,303.29,1770.97,-1261.91,-0.42
"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",4355.72,3920.15,435.57,33981.31,29625.59,6.8
FUGOO - Sport XL Portable Bluetooth Speaker - Black/White,1749.85,1574.86,174.99,2103.28,353.43,0.2
Get Up Stand Bluetooth Home Audio System,3344.03,3009.63,334.4,2439.45,-904.58,-0.27
JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),991.16,892.04,99.12,1316.45,325.29,0.33
"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",719.72,647.75,71.97,853951.78,853232.06,1185.51
SRS-XB2 Portable Bluetooth Wireless Speaker (Blue),913.37,822.03,91.34,1394.51,481.14,0.53
SRS-XB40 Bluetooth Speaker (Black),5067.18,4560.46,506.72,4493.13,-574.05,-0.11
SRS-XB40 Bluetooth Speaker (Blue),4138.96,3725.06,413.9,3708.36,-430.6,-0.1
SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black),1725.83,1553.25,172.58,1319.3,-406.53,-0.24
iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal),951.25,856.12,95.13,555.4,-395.85,-0.42
